Course,Cred_hours,Pre-req,Pred_1,Instructor_1,Pred_2,Instructor_2,Pred_3,Instructor_3,Pred_4,Instructor_4,Pred_5,Instructor_5,Pred_6,Instructor_6,Pred_7,Instructor_7,Pred_8,Instructor_8,Pred_9,Instructor_9,Pred_10,Instructor_10,Pred_11,Instructor_11,Pred_12,Instructor_12,Pred_13,Instructor_13,Pred_14,Instructor_14,Pred_15,Instructor_15,Pred_16,Instructor_16,Pred_17,Instructor_17,Pred_18,Instructor_18
AE 2355,3.0,,4.0,Unknown,3.986291260085711,"Johnson, Carl",2.9117643590413502,"Johnson, Carl",4.0,Unknown,4.0,"Johnson, Carl",2.9428352299356075,"Johnson, Carl",4.0,Unknown,3.986615113286907,"Johnson, Carl",2.8313073403371254,"Johnson, Carl",4.0,Unknown,3.981733540052993,"Johnson, Carl",2.777405428787252,"Johnson, Carl",4.0,Unknown,3.994189554400276,"Johnson, Carl",2.825627506039679,"Johnson, Carl",4.0,Unknown,3.992646591613973,"Johnson, Carl",2.872685179834135,"Johnson, Carl"
AE 2610,1.0,,3.838426344816783,"Steinberg, Adam",3.874894556,"Jagoda, Jechiel",3.4935287180827004,"Jagoda, Jechiel",3.672625458447557,"Steinberg, Adam",3.8236980891292256,"Jagoda, Jechiel",3.555670459871215,"Jagoda, Jechiel",3.668651152542634,"Steinberg, Adam",3.901037441709191,"Jagoda, Jechiel",3.332614680674251,"Jagoda, Jechiel",3.775853393169726,"Steinberg, Adam",3.8792460977418393,"Jagoda, Jechiel",3.224810857574503,"Jagoda, Jechiel",3.830771214782904,"Steinberg, Adam",3.933817798300187,"Jagoda, Jechiel",3.321255012079358,"Jagoda, Jechiel",3.786996763062422,"Steinberg, Adam",3.929475619543572,"Jagoda, Jechiel",3.41537036,"Jagoda, Jechiel"
AE 2611,1.0,,4.0,"Carr, Christopher",3.816885710931067,"Seitzman, Jerry",3.8882760247227455,"Seitzman, Jerry",4.0,"Carr, Christopher",3.793890481784617,"Seitzman, Jerry",3.900827662535523,"Seitzman, Jerry",4.0,"Carr, Christopher",3.811004085,"Seitzman, Jerry",3.899727200550661,"Seitzman, Jerry",4.0,"Carr, Christopher",3.800663237837807,"Seitzman, Jerry",3.898121540051645,"Seitzman, Jerry",4.0,"Carr, Christopher",3.807757324497343,"Seitzman, Jerry",3.899537771612273,"Seitzman, Jerry",4.0,"Carr, Christopher",3.803258288564483,"Seitzman, Jerry",3.8987874460747207,"Seitzman, Jerry"
AE 2699,3.0,,3.930660282892139,"Prasad, J",3.988992155392985,"Smith, Marilyn",3.9779344845398943,"Tsiotras, Panagiotis",3.962461147512329,"Prasad, J",3.901185591552155,"Smith, Marilyn",3.975266586454758,"Tsiotras, Panagiotis",3.971805804174619,"Prasad, J",3.855788203513248,"Smith, Marilyn",3.973666883,"Tsiotras, Panagiotis",3.955361962475166,"Prasad, J",3.976638935723147,"Smith, Marilyn",3.974804989631029,"Tsiotras, Panagiotis",3.947448712549008,"Prasad, J",3.892389739207396,"Smith, Marilyn",3.9745169554678266,"Tsiotras, Panagiotis",3.95545687833357,"Prasad, J",3.875239553322648,"Smith, Marilyn",3.97448049214864,"Tsiotras, Panagiotis"
AE 2801,1.0,,3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel",3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel",3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel",3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel",3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel",3.5,"Wang, Jason",3.0,"Ruffin, Stephen",4.0,"Jagoda, Jechiel"
AE 2802,2.0,,4.0,"Walker, Mitchell",3.770906538170129,"Ruffin, Stephen",3.2749109196205417,"Seitzman, Jerry",4.0,"Walker, Mitchell",3.770218466125516,"Ruffin, Stephen",3.275240532811528,"Seitzman, Jerry",4.0,"Walker, Mitchell",3.770188883006465,"Ruffin, Stephen",3.275257256893325,"Seitzman, Jerry",4.0,"Walker, Mitchell",3.7701810160607407,"Ruffin, Stephen",3.2752619437008144,"Seitzman, Jerry",4.0,"Walker, Mitchell",3.770180532861135,"Ruffin, Stephen",3.2752622813657664,"Seitzman, Jerry",4.0,"Walker, Mitchell",3.770180439729327,"Ruffin, Stephen",3.2752623506062517,"Seitzman, Jerry"
AE 3021,3.0,,3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen",3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen",3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen",3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen",3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen",3.3766666666666665,"Sankar, Narayanamoorthy",2.71,"Yeung, Pui-Kuen",3.33,"Yeung, Pui-Kuen"
AE 3030,4.0,,3.359614307298213,"Sankar, Narayanamoorthy",3.329579678619443,"Yeung, Pui-Kuen",3.4639742758158008,"Yeung, Pui-Kuen",3.346466403764595,"Sankar, Narayanamoorthy",3.273429450297575,"Yeung, Pui-Kuen",3.601892303639626,"Yeung, Pui-Kuen",3.3345532977082817,"Sankar, Narayanamoorthy",3.2826831528490845,"Yeung, Pui-Kuen",3.235533843199646,"Yeung, Pui-Kuen",3.3259949108463087,"Sankar, Narayanamoorthy",3.301448555871987,"Yeung, Pui-Kuen",3.439022734556592,"Yeung, Pui-Kuen",3.3194289954033795,"Sankar, Narayanamoorthy",3.291995883068501,"Yeung, Pui-Kuen",3.5179488535795618,"Yeung, Pui-Kuen",3.3144900399816173,"Sankar, Narayanamoorthy",3.2877180706024727,"Yeung, Pui-Kuen",3.3196231422784783,"Yeung, Pui-Kuen"
AE 3051,3.0,,3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.413136579978971,"Walker, Mitchell",3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.518056960458022,"Walker, Mitchell",3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.2489429861567336,"Walker, Mitchell",3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.4048016883815557,"Walker, Mitchell",3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.4643599546409902,"Walker, Mitchell",3.348333333333333,Unknown,3.205833333333333,"Seitzman, Jerry",3.314845153921275,"Walker, Mitchell"
AE 3090,3.0,,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.362298884142141,Unknown,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.434221617276417,Unknown,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.2623521291138218,Unknown,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.3705806422065185,Unknown,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.4107710557024182,Unknown,3.65,Unknown,3.0304166666666665,"Smith, Marilyn",3.310067165564072,Unknown
